iter	Logloss
0	0.6898743427
1	0.6875163476
2	0.6845548495
3	0.6814089338
4	0.6791245963
5	0.6761308089
6	0.6732386036
7	0.6705032241
8	0.667148873
9	0.6643748493
10	0.6618605342
11	0.6592648515
12	0.6566081051
13	0.6539960298
14	0.6513507683
15	0.6486322884
16	0.6459528483
17	0.6436434575
18	0.6410767696
19	0.6389287603
20	0.6363012795
21	0.6336770322
22	0.6312730629
23	0.6297921191
24	0.6273934354
25	0.6250832673
26	0.623111469
27	0.6205088316
28	0.6177916026
29	0.6151748366
30	0.6127773801
31	0.6114153332
32	0.6099234031
33	0.6074127024
34	0.6051145784
35	0.6029198007
36	0.6004250586
37	0.5982649188
38	0.5964137021
39	0.5939151381
40	0.5917679684
41	0.589435124
42	0.5869977793
43	0.5849396446
44	0.5833255725
45	0.5816958863
46	0.5797757154
47	0.5776245783
48	0.5762322009
49	0.5742135903
50	0.5723893954
51	0.5705762431
52	0.5682221732
53	0.5664645432
54	0.5646605629
55	0.563283159
56	0.5611682558
57	0.5597273427
58	0.558010068
59	0.5564045576
60	0.5546452723
61	0.5530377688
62	0.5515705403
63	0.5497116075
64	0.5483659068
65	0.5464445354
66	0.545243135
67	0.543423611
68	0.5418209821
69	0.5401554468
70	0.5386178461
71	0.5366592312
72	0.5345436574
73	0.5334433443
74	0.5322035988
75	0.5308699699
76	0.529594936
77	0.5279905812
78	0.5262698105
79	0.5243956482
80	0.5239297141
81	0.5222286714
82	0.5207939256
83	0.5194976328
84	0.5182060545
85	0.5165279944
86	0.515082482
87	0.513622783
88	0.5121843442
89	0.5106779479
90	0.5094886991
91	0.5078407717
92	0.5065687526
93	0.505184586
94	0.5039449437
95	0.5025839098
96	0.501165523
97	0.4999468367
98	0.4987912276
99	0.4975718703
100	0.4965211803
101	0.4953877216
102	0.4940936892
103	0.4929343223
104	0.4916458597
105	0.4906826262
106	0.4893734873
107	0.4885197516
108	0.4875536269
109	0.4864644109
110	0.4853785308
111	0.4842957431
112	0.4831798679
113	0.48199135
114	0.4811679165
115	0.4797687324
116	0.4792288002
117	0.4778665455
118	0.4765068075
119	0.4752010661
120	0.474080043
121	0.4728059371
122	0.4719491783
123	0.4713474471
124	0.4704162728
125	0.4694666763
126	0.4686706891
127	0.4676424378
128	0.4665168176
129	0.4656553683
130	0.4645915786
131	0.4635677841
132	0.4626574244
133	0.4617578635
134	0.4608135842
135	0.4598753669
136	0.4587584274
137	0.4577546242
138	0.4570031531
139	0.4559390131
140	0.4548370039
141	0.4540539704
142	0.4533997573
143	0.4527040106
144	0.4518946206
145	0.4508034353
146	0.4500397448
147	0.4492788
148	0.4482323268
149	0.4473073902
150	0.4461246008
151	0.4451888015
152	0.4444057389
153	0.4436286515
154	0.4430176859
155	0.4420555526
156	0.4410029574
157	0.4402414345
158	0.4393751334
159	0.4386341987
160	0.4378229666
161	0.4365550662
162	0.4356699306
163	0.4343496684
164	0.4336163948
165	0.4326813728
166	0.4319531527
167	0.4311941075
168	0.430629314
169	0.4298215031
170	0.4284512097
171	0.4275260358
172	0.4269644416
173	0.425972895
174	0.425401896
175	0.4246530227
176	0.4237837664
177	0.4230423464
178	0.4226190099
179	0.4220825471
180	0.4211209692
181	0.420440511
182	0.4198846308
183	0.4191271274
184	0.4185473674
185	0.4178356248
186	0.416967108
187	0.4164552301
188	0.4156977488
189	0.4149655504
190	0.4143227594
191	0.4135824899
192	0.4127995399
193	0.4122563893
194	0.4117258951
195	0.4110308524
196	0.4101247643
197	0.4091185363
198	0.4086107662
199	0.4075649325
200	0.4066992632
201	0.4059746187
202	0.4054225024
203	0.4043346206
204	0.4037896855
205	0.4029788914
206	0.4022388637
207	0.4017120083
208	0.4010448276
209	0.4002812849
210	0.3993961044
211	0.3987779013
212	0.3980372552
213	0.3973931836
214	0.3965788208
215	0.3959859531
216	0.3953690263
217	0.3947131271
218	0.3940435896
219	0.3932717321
220	0.3926440066
221	0.3919211017
222	0.3913973993
223	0.3907980613
224	0.3902675697
225	0.389839395
226	0.3891418743
227	0.3883392438
228	0.3876111319
229	0.3868864374
230	0.3862406396
231	0.3857466807
232	0.3848999845
233	0.384239372
234	0.3837714062
235	0.3830730744
236	0.382458496
237	0.3816339543
238	0.3807197801
239	0.380241152
240	0.3796379391
241	0.3789646478
242	0.3783610153
243	0.3777973065
244	0.3767608862
245	0.3761451639
246	0.3757005776
247	0.3754078593
248	0.3747915824
249	0.3742511009
250	0.3736443107
251	0.3729232951
252	0.3723305428
253	0.3717739355
254	0.3710745589
255	0.3706692893
256	0.3700633993
257	0.3696148737
258	0.3691678527
259	0.3688329118
260	0.3679080239
261	0.3672536616
262	0.3667522232
263	0.366219648
264	0.3657203969
265	0.3653357121
266	0.3648565652
267	0.3644417148
268	0.363835005
269	0.3632221533
270	0.36292051
271	0.3625516024
272	0.3620334779
273	0.3613405897
274	0.3608083942
275	0.3602505702
276	0.359702764
277	0.358933185
278	0.3580827708
279	0.3576636968
280	0.3569978897
281	0.3564379243
282	0.356029396
283	0.3556353232
284	0.3553621319
285	0.3548534759
286	0.3541478732
287	0.353681151
288	0.3531002014
289	0.3524839435
290	0.3520842503
291	0.351711346
292	0.3512617178
293	0.3508873011
294	0.3506745105
295	0.3500029345
296	0.3495490768
297	0.3488571599
298	0.3484307786
299	0.3478561068
300	0.3474548206
301	0.3468755804
302	0.3464664595
303	0.3460285665
304	0.34564779
305	0.345183942
306	0.344625709
307	0.3440322658
308	0.343595183
309	0.3431959802
310	0.342494577
311	0.3420890872
312	0.3416995124
313	0.3408579995
314	0.3405307702
315	0.3398781234
316	0.3392671631
317	0.3386959431
318	0.3381755514
319	0.3375236247
320	0.337052355
321	0.3365822342
322	0.3360532394
323	0.3356647853
324	0.3353425386
325	0.3349962259
326	0.3347604738
327	0.3343641608
328	0.3338155864
329	0.3334656992
330	0.3328373271
331	0.3319767909
332	0.3314877893
333	0.331071428
334	0.3307496312
335	0.3304420858
336	0.3299694753
337	0.3297077394
338	0.3291676078
339	0.3287792342
340	0.3283568755
341	0.3279477979
342	0.327403432
343	0.3268561282
344	0.3264513565
345	0.3260056018
346	0.3258109044
347	0.3255156211
348	0.3251388289
349	0.3245568655
350	0.3239688114
351	0.3237535389
352	0.323196011
353	0.3227445463
354	0.3223065979
355	0.321780441
356	0.321188462
357	0.3207909976
358	0.320356701
359	0.3198218352
360	0.3193505466
361	0.3190431582
362	0.3187617163
363	0.3184731881
364	0.3176841641
365	0.3171466576
366	0.3166781496
367	0.3163728346
368	0.3160393451
369	0.315627313
370	0.3151831284
371	0.3148362607
372	0.314317379
373	0.3139776336
374	0.3136770237
375	0.3131717434
376	0.3126474484
377	0.3123628513
378	0.3120719674
379	0.3115876075
380	0.3110287878
381	0.3108345486
382	0.3101630171
383	0.3099331542
384	0.309650872
385	0.3092435118
386	0.3089516378
387	0.3085775453
388	0.3082681196
389	0.3078684023
390	0.3073196853
391	0.3068174527
392	0.3065828941
393	0.3063179343
394	0.3060019932
395	0.3055402967
396	0.3050854468
397	0.304570741
398	0.3041905644
399	0.3039746286
400	0.3037388393
401	0.3033655988
402	0.3030196588
403	0.3026796409
404	0.3022329613
405	0.3020100928
406	0.301799456
407	0.3012900642
408	0.3007697323
409	0.3003069891
410	0.2998549337
411	0.299572446
412	0.2991724927
413	0.2989022611
414	0.2984074227
415	0.2980937129
416	0.2977126471
417	0.2972982682
418	0.2969581388
419	0.2965209572
420	0.2962456213
421	0.2960007702
422	0.2958004515
423	0.2954180671
424	0.2952673628
425	0.2948481451
426	0.2945775492
427	0.294270423
428	0.2939061804
429	0.293601338
430	0.2931152869
431	0.29278658
432	0.2923558604
433	0.2920561863
434	0.2918759345
435	0.2913023465
436	0.2909818253
437	0.290511384
438	0.2901400063
439	0.2898387854
440	0.2895971758
441	0.2892479116
442	0.2889101363
443	0.2885835312
444	0.2882544605
445	0.288028634
446	0.2876075662
447	0.2872576671
448	0.2868725662
449	0.2865596604
450	0.286110567
451	0.2857764269
452	0.2853353642
453	0.284810196
454	0.2845622341
455	0.2841912798
456	0.2837668012
457	0.2833150128
458	0.283035681
459	0.2827952179
460	0.2826503278
461	0.282453354
462	0.2821510941
463	0.2818174284
464	0.2813834537
465	0.2812087045
466	0.2809114981
467	0.28061661
468	0.2802982217
469	0.280008674
470	0.2797628907
471	0.2792866964
472	0.2788948687
473	0.2784409052
474	0.2780002594
475	0.2777070634
476	0.2774360957
477	0.277177311
478	0.2767569135
479	0.2764265933
480	0.276136012
481	0.2758644083
482	0.2755349084
483	0.2751916089
484	0.2749289608
485	0.2745470128
486	0.2740873034
487	0.2737199526
488	0.2734936184
489	0.2733003107
490	0.2729811727
491	0.272478257
492	0.2720933615
493	0.2717980556
494	0.2713354243
495	0.2711268539
496	0.2707475124
497	0.2704740798
498	0.2699488621
499	0.2697981221
500	0.2695593425
501	0.2692020501
502	0.2687950995
503	0.2684902912
504	0.2682814332
505	0.2680694066
506	0.2678863137
507	0.2674746862
508	0.2671402406
509	0.2668372732
510	0.2665865168
511	0.2662073571
512	0.265920439
513	0.2654866606
514	0.2651063278
515	0.264993815
516	0.2646915344
517	0.264436212
518	0.2641365916
519	0.2637452224
520	0.2634560243
521	0.2632059852
522	0.2629330936
523	0.2626029289
524	0.2622674968
525	0.2620313778
526	0.2616118653
527	0.2614265641
528	0.2610761469
529	0.2608760651
530	0.2605822066
531	0.2602033345
532	0.2599055598
533	0.2597864588
534	0.25942243
535	0.2591376826
536	0.2587528304
537	0.2584252335
538	0.258162436
539	0.2580494595
540	0.2577294862
541	0.2575122604
542	0.2573741006
543	0.2571520146
544	0.256897301
545	0.2567610625
546	0.2563571422
547	0.2560347238
548	0.2557499018
549	0.2554211941
550	0.2552165788
551	0.2550169262
552	0.2547869029
553	0.2545548718
554	0.2543106744
555	0.2540764592
556	0.2537261197
557	0.2534785086
558	0.253158141
559	0.2528757071
560	0.2524751878
561	0.252119264
562	0.2518121204
563	0.2515040377
564	0.2513098371
565	0.2511458847
566	0.2508769773
567	0.2505857698
568	0.2502974308
569	0.2500286037
570	0.2499102864
571	0.2495981867
572	0.2494091599
573	0.2489763573
574	0.248627519
575	0.2484403735
576	0.2479889195
577	0.2476564629
578	0.247468818
579	0.2471597086
580	0.2469329081
581	0.2466034032
582	0.2463038813
583	0.245936635
584	0.2455346655
585	0.2452282305
586	0.2449201861
587	0.2447223583
588	0.2445162576
589	0.2443120378
590	0.2440550379
591	0.2437775677
592	0.2434206492
593	0.2431191417
594	0.2429156976
595	0.2427860767
596	0.2423451865
597	0.2419878757
598	0.2417065281
599	0.2413517133
600	0.2410411736
601	0.2407131778
602	0.240187395
603	0.2398752858
604	0.2397951735
605	0.2394807403
606	0.2391074062
607	0.238714102
608	0.2384661963
609	0.2383205836
610	0.2379893893
611	0.2375940893
612	0.2374320935
613	0.2372197529
614	0.2370130955
615	0.236825487
616	0.23660244
617	0.2363819292
618	0.2362150717
619	0.2359722924
620	0.2356987288
621	0.2354317755
622	0.2351374282
623	0.234877778
624	0.2346173683
625	0.234320781
626	0.2341297103
627	0.2338796324
628	0.2336754385
629	0.2335097808
630	0.2332938252
631	0.2329661516
632	0.2327251169
633	0.2325235652
634	0.2323407333
635	0.2320684929
636	0.2318058538
637	0.2315048184
638	0.2313756434
639	0.2311192673
640	0.2308579078
641	0.2307197554
642	0.2304726159
643	0.2302384393
644	0.230089105
645	0.2295738963
646	0.2292416375
647	0.2289564434
648	0.2287433207
649	0.2283531119
650	0.2281572068
651	0.2279590966
652	0.2276832051
653	0.2273514239
654	0.22720332
655	0.2269335903
656	0.2267830136
657	0.2265700188
658	0.2262567954
659	0.2259957717
660	0.2259123372
661	0.2255271531
662	0.2252540178
663	0.2249667972
664	0.2247412557
665	0.2246432
666	0.2244598565
667	0.2241797041
668	0.2239273888
669	0.2237997674
670	0.2235135425
671	0.2232754594
672	0.2228717547
673	0.2225996266
674	0.2222903997
675	0.221990985
676	0.2216679691
677	0.2214670371
678	0.2212716934
679	0.2210846616
680	0.2209107848
681	0.2207590834
682	0.220587146
683	0.2205130652
684	0.2203213692
